ch_0,ch_1,ch_2,ch_3,ch_4
2.5137,2.8628,0.4473,1.6763,4.026
2.977,0.10888,0.75375,0.33648,-0.76311
2.303,1.7259,4.768,3.16,1.1587
1.4007,-1.1007,2.422,1.5861,1.9675
-3.3567,1.3952,-2.6878,-2.3831,-0.924
-3.0795,-4.682,-4.3532,-0.030287,0.6416
1.5222,-2.766,3.7662,-0.33471,-1.9862
-2.0135,-1.1939,-2.5153,-2.8882,-1.089
3.0865,3.7528,4.9147,-0.24964,4.5187
2.7717,1.8629,0.36867,3.6813,2.6673
3.6408,-1.2723,2.1017,1.3493,1.5522
-0.52028,1.3013,-1.4982,-1.0844,-3.5561
-0.45737,2.71,1.4918,-0.94238,1.2253
-2.627,-3.6146,-3.8878,2.1756,0.37818
-3.2009,-2.7789,-0.54664,-3.2779,-5.6485
-1.1104,-2.1885,-1.1872,-3.8878,-2.704
4.6524,3.0869,2.2375,1.8434,3.5779
0.78821,-0.51768,-0.76709,-0.31953,-0.74685
-0.85775,-1.5573,-0.63421,0.054752,1.3712
-1.3254,1.5565,0.10113,0.8369,-1.5497
-1.341,-1.3799,-0.85567,-3.5919,-0.68021
-2.0994,-2.7464,-2.4061,-0.90433,-4.0389
0.24436,-0.9308,3.1245,2.1711,3.7056
1.6574,3.4483,-0.5407,-0.89707,3.6899
0.52702,-2.8298,-3.676,2.4202,-1.8467
1.0671,4.5031,1.9752,0.35686,1.9476
3.0081,1.0413,0.34249,4.1179,-0.5369
2.9653,1.1767,0.29385,-1.1409,1.3561
1.909,0.93869,0.66765,2.3175,-0.17737
-2.0848,-1.0234,-0.39287,-3.6174,0.79745
-0.13922,-1.9556,1.1247,0.90012,1.1076
-1.3819,-2.0836,-0.07568,-3.0046,-0.43855
-3.1972,-1.0273,-0.96729,-2.3658,-1.7836
1.8318,-1.7408,0.41252,2.5025,0.87023
0.63959,-0.68171,1.5042,1.4822,-4.1368
-5.879,-1.8617,-5.817,-3.4618,-6.7431
-1.8655,0.40128,-2.0156,-1.9972,-1.237
2.3143,0.56585,3.3651,0.48723,2.5041
1.7124,0.23646,-3.2891,-2.1452,-3.3854
-0.076094,0.85317,2.5254,1.8495,2.4485
1.653,1.3199,-2.0739,-2.8166,-0.35747
2.5241,2.7871,4.26,1.0315,2.0249
2.4706,0.35053,-2.4657,-2.3218,-1.1668
-1.6778,1.2379,1.6861,-0.17093,1.4309
-0.19696,0.10388,4.5499,2.7641,3.1494
-1.1824,0.46012,0.84312,-1.7057,-5.1842
0.45813,-0.033758,1.1589,3.5284,3.9004
0.99573,1.3735,1.6706,2.0238,1.1692
0.41095,-1.1451,1.5621,3.4787,3.3293
5.7393,3.8702,3.9366,2.2437,0.85477
1.6991,-0.28161,-0.89501,-0.69166,-0.60134
0.08592,-0.39151,0.72167,-2.3565,2.9906
-2.9568,1.6261,1.8996,0.21695,-1.6654
-2.8133,-5.6999,-7.133,-4.3139,-4.385
0.072463,-1.9745,1.2981,-0.54872,-1.0323
-4.3241,-5.4002,-7.6976,0.19374,-0.58444
2.1028,-1.3448,2.3402,0.71713,2.4825
3.2119,1.1574,-0.2324,1.7056,-3.3518
-1.1011,2.2518,0.59763,0.15623,3.0914
0.59746,0.12601,-4.7608,-1.7973,-7.0588
-0.89474,-2.3332,0.42675,0.39931,0.32383
2.139,4.4255,-0.067637,-0.034187,2.6955
1.7606,-0.16889,0.28601,2.1397,-0.61464
-3.6768,0.83756,-0.25637,-1.7365,0.098787
2.7513,-1.0611,2.6842,1.5629,-0.49273
-1.7491,-0.98651,0.45677,1.9206,3.4151
-2.9525,-2.0853,-0.4003,-0.78536,-4.2348
0.70387,-1.6841,2.6224,1.7906,0.93297
-1.2774,1.4105,-5.4706,2.0094,-0.41544
3.3682,2.5994,1.9042,-0.57256,3.2266
-0.36354,-0.10579,-0.15895,1.6039,2.1046
3.9192,4.0372,0.56,2.2596,0.97011
-5.2948,-1.9857,-4.9301,-3.8808,-4.6287
2.3749,3.9235,2.1179,0.80619,-1.2933
-1.2497,2.5181,1.4599,0.32796,-2.2834
-0.091653,-2.6233,-0.070831,0.15616,-1.3369
2.5124,2.3629,3.9899,2.2064,1.4117
0.30969,-2.0455,-0.22904,-0.20339,1.5977
4.563,1.2858,4.9254,4.5087,1.3171
1.3721,-5.0957,0.65737,0.99663,1.5093
-1.0635,-1.1598,-3.5725,-2.8371,0.7291
0.61239,3.0557,-0.15942,-3.0508,-1.1647
0.23664,-0.044408,-1.3166,-1.6346,-2.0282
-2.971,0.59233,-0.23228,-2.2855,-0.93078
-2.9276,-0.77216,-2.271,-1.2288,-1.4116
-1.8749,0.60327,-0.78048,-2.7057,4.1431
-0.86073,-0.3971,-0.67453,-1.2686,-2.4239
2.5352,-1.0101,3.5321,1.758,3.3387
4.6457,2.5568,0.44455,0.65545,4.9293
-3.5867,-1.394,-1.9346,-4.6923,-1.7416
-0.055647,2.3343,2.8257,1.1096,1.969
1.6136,1.692,3.1632,1.6984,2.4663
1.2112,-0.13956,-3.6425,1.0981,-1.3138
-1.1082,-3.696,-2.4498,-0.27303,-0.20129
-1.1521,-3.8445,3.0466,0.21236,-0.63867
0.85308,-0.12841,-1.7099,-3.0244,-3.6045
-0.85892,1.4452,-1.7891,1.761,-0.38963
4.83,4.495,4.8026,3.704,4.3371
1.5583,1.1227,-0.63118,-2.1155,-5.8338
1.4843,-2.1035,-1.3305,-0.10193,-1.11
-2.9387,-2.4098,-1.9064,-2.9246,-3.4328
-1.9883,-1.9792,-1.5858,1.5341,3.3475
1.9816,1.245,2.1748,0.31437,2.3457
0.55982,4.1458,2.8958,3.5913,1.4225
-4.1358,-2.129,-3.2845,-2.869,-6.9634
-2.5872,-2.4677,-3.4006,-2.5352,-3.4206
-0.69718,0.72376,-3.1666,-2.3205,-1.5575
0.90662,3.739,3.2341,0.63831,4.5944
-0.27597,0.90948,1.5941,0.52282,1.742
2.4928,-0.39701,1.7417,4.7797,1.4071
5.4963,1.7387,2.2751,1.5004,-1.1733
-0.66111,1.8657,-0.54241,1.1276,-0.6235
1.8323,-0.21212,-0.336,-0.40582,0.0085467
-4.7173,-1.0419,-4.5359,-0.45355,-1.8057
-1.1812,-0.35622,1.5907,0.1948,-1.3889
-0.97066,-3.0799,-0.13602,0.56548,2.3566
-3.211,-2.8645,-4.6363,-2.8744,-1.4692
2.968,2.9766,1.3984,-1.7287,1.3892
0.98005,4.2128,0.99998,-0.91756,0.094595
-2.0528,-5.9675,-2.7231,-3.9286,-2.8975
1.301,-1.3516,5.0386,1.465,0.35263
1.5134,0.6545,-0.49637,-1.8368,-0.080632
-3.0075,-2.3524,-0.9967,1.4387,2.6368
2.8194,0.91365,1.6027,5.4259,5.9389
3.9727,2.5875,2.956,1.9618,2.7772
-0.86168,-1.65,0.27123,-2.6403,-4.561
0.31379,0.50845,-2.472,-3.4701,-1.9091
3.6593,5.4778,6.0683,3.9143,0.24308
-0.8799,-0.018174,-3.0092,-0.87054,-3.6849
-0.66529,-0.22483,1.7566,3.2624,6.155
3.356,0.23039,-0.48448,2.9844,-0.35
-1.7264,0.74367,-0.61452,-3.2278,-1.2274
-0.94877,-1.8874,0.066043,1.4906,-2.6258
-0.43691,-1.8288,1.0524,1.2694,-0.99744
-0.93322,-0.67128,-1.4698,-1.9045,3.0555
-2.1955,-2.7498,-3.4187,0.080868,0.74012
1.7472,1.0263,0.47668,-1.0843,0.66587
-2.0409,1.4194,-1.9856,-0.7364,-2.2688
-1.6907,-0.66256,-4.1987,-3.0139,-4.3054
-0.098608,-2.2338,2.4662,0.74725,0.775
1.8102,2.4465,-1.1845,-0.98403,3.063
0.48943,0.34999,1.7563,2.6596,-3.1788
-1.8424,-2.3161,-4.8833,-1.403,-3.4435
0.4118,-0.76315,-1.0412,-1.1573,-0.54749
2.8715,4.7994,4.1357,1.0796,4.2696
2.88,1.9308,3.6256,2.9402,4.9235
0.88659,-1.4882,-0.90963,0.021391,-1.2378
-1.3919,2.678,3.1708,3.0486,2.9658
0.72575,-0.1425,1.325,-1.3093,2.1999
-2.9676,-2.3238,-5.9151,-1.6368,-8.3366
0.46135,-0.85918,-1.6747,-2.7093,-0.7999
3.4086,2.1845,2.4346,2.6343,1.1668
-0.39123,-0.44738,-1.3209,3.8115,4.1097
2.7834,3.2495,4.9833,4.9529,2.4689
-3.4337,0.95781,-2.0033,0.29052,-4.4025
0.4591,-1.8487,0.27335,0.27409,0.87603
-3.3848,-1.2648,-2.0461,-4.5519,-3.6931
-1.7705,-2.8937,-2.8588,-4.8275,-0.5096
3.4554,0.2352,2.0689,-0.21677,0.63711
-1.9019,-1.8065,3.7396,0.41857,0.45068
-2.0847,1.6648,-2.8918,2.2195,2.4931
-0.7894,-0.055691,-2.2637,0.15973,1.2957
2.9201,-0.20989,0.79525,0.63799,3.9
1.7611,3.4444,0.70838,-2.8096,-1.3445
2.2931,1.3674,3.3317,4.2355,2.8407
-1.715,-1.3598,-3.652,-5.451,-3.6653
-3.1162,-4.5206,-4.0477,-0.5533,-5.569
2.7381,-1.2504,4.7791,3.7495,2.6476
1.6151,1.8602,0.10056,1.9648,-3.5218
-0.16722,2.7273,0.12283,-1.4798,1.4259
-1.1687,-1.5805,-0.65392,-0.52649,2.0932
1.6374,0.6149,0.26998,1.5226,-0.62188
1.2071,2.4126,-0.65664,-0.41109,-0.77851
-0.0091417,-2.6833,-2.8976,-3.4607,-1.5114
3.2584,1.6962,1.4601,5.6469,3.8642
-2.3622,-2.3024,-1.7639,-4.0137,-3.5167
1.8491,-0.65848,-0.66621,-1.6583,-0.86324
-0.85037,-0.52855,-0.53886,1.0455,2.2433
2.4753,3.4866,5.2306,4.0032,5.6433
4.6271,4.2155,5.0801,4.0228,4.638
-1.8117,-0.49641,1.6367,2.6823,1.2843
-1.9545,-2.0862,-1.5696,-1.2945,-5.1004
1.6724,0.26632,-2.8856,-2.3096,0.91592
-0.95691,-0.23172,-0.73694,0.1899,0.54971
-2.5611,-0.66027,-1.8521,0.13198,1.1409
-3.4896,0.71311,-2.1187,-3.4067,-2.7806
-0.87613,1.6192,-1.2705,-4.2497,-3.2649
0.10237,1.8915,-0.75106,2.4047,3.0999
-2.1065,-0.41978,-2.83,-4.0446,-6.7293
2.4967,0.16296,1.6571,-2.5796,1.3923
0.12889,0.46497,-0.3578,2.8621,1.5376
0.99444,0.51872,-1.3788,-2.0009,-1.045
-1.8872,0.5083,-1.807,1.0125,-0.43226
0.47633,1.5441,1.0229,-1.5741,-0.30128
3.1578,1.6457,1.9512,-0.12164,3.0146
-1.4784,-0.40759,-0.9974,-1.4302,-3.9741
0.42354,1.4947,1.772,0.72439,1.465
4.3703,-0.88513,3.0212,1.893,3.0147
0.98817,1.1079,-0.043039,1.301,1.4295
1.8945,-1.1184,-0.38885,1.3475,-1.5597
-2.5486,-2.7917,-3.1085,-0.51914,-3.6933
2.2738,-0.91915,0.69005,0.37202,0.26712
-1.5443,2.5525,1.8415,0.95907,2.2738
-1.6804,0.28443,-1.7746,1.542,0.33622
-1.9079,-0.82293,-2.1312,-3.2357,-3.4088
2.7229,4.6777,5.1777,3.0286,4.8225
-1.7272,-0.99621,-0.1848,-3.918,-2.6705
1.181,-0.14856,1.9162,1.987,2.837
2.8104,0.74676,-1.9808,-1.6588,-2.2291
-1.4599,1.3008,-3.0745,-3.5741,-0.14363
1.182,2.2352,-1.7379,-1.5825,0.51647
-4.3047,-1.3676,-2.5217,1.1921,2.6296
-0.46826,-0.51454,-1.5234,-3.7943,-1.1432
-1.03,-0.72509,-0.47853,-1.3068,-0.91365
1.5797,0.25096,1.8815,1.2748,4.0092
-1.4777,-0.97887,-1.5802,0.22744,-1.7298
1.6207,1.5052,3.6452,3.6375,0.82536
-2.8614,-0.12485,-3.7779,-2.0606,-3.217
-0.57581,-0.40164,-0.83225,2.8478,1.598
-1.1375,-0.11903,-1.1465,-1.4568,-3.8164
5.3142,0.57884,2.8695,-0.79608,2.6064
-2.7492,-0.40287,1.6972,2.1204,-1.3164
3.8363,0.14866,3.4927,0.53067,2.7779
3.4454,0.93439,2.267,0.69568,3.5783
-0.72215,-0.66085,-8.2028,-3.9017,-6.1124
-0.36723,0.099033,-1.0728,-0.3886,-1.1705
1.3767,4.6661,3.116,1.9251,3.7144
0.86864,-0.34672,2.0921,2.5175,1.2415
-3.7504,-1.9526,-4.8083,-4.5171,-4.044
5.0947,1.2639,3.8151,3.6809,1.9731
-4.6738,-2.5637,-3.7182,-4.6937,-3.4501
-2.8771,-1.5559,-0.20922,-2.534,-0.41438
-2.0947,-1.3738,-0.76293,-2.7688,0.99852
0.16271,1.1976,2.0159,4.102,7.3162
2.2556,5.0484,4.353,1.5434,3.2605
0.63803,-2.009,-1.3531,-1.2457,-0.71586
-1.327,-3.3392,-3.1326,-3.1856,-5.1613
0.2558,3.1661,1.1683,-0.77177,-0.52309
4.5579,2.6479,0.63338,-0.30529,3.5035
-0.47649,3.6385,2.77,0.091609,-1.2423
0.16076,-1.8563,0.86397,2.7039,0.38742
0.89698,-2.4289,-2.6655,-1.3922,-1.6446
-5.6747,-2.4663,0.00027462,-0.71915,-1.255
-0.034662,1.7181,-0.11356,-0.55869,1.9562
-1.4128,-3.8706,-4.65,-2.3439,-2.9801
0.63697,2.0112,-0.77255,-0.085968,1.8104
-1.3443,-2.0997,-1.2403,0.054964,-0.74117
-2.0625,-0.16044,1.3894,3.4826,3.7212
1.8625,2.9425,2.8743,-0.018451,-0.18654
5.7303,4.2271,4.661,2.7948,3.491
-1.8966,0.56182,0.30303,-1.3693,1.3209
0.047769,-3.935,-2.6116,-1.0901,-1.9092
1.3943,-0.58206,2.66,3.27,1.1987
-1.513,-2.1344,2.0085,-1.9424,-0.96528
0.91357,3.5301,3.3946,1.7934,-0.28322
-2.8955,-4.0347,-3.867,-1.4531,-6.3746
-2.2496,-1.8852,-0.97582,-0.17527,-0.10364
1.3443,-0.1327,3.7211,1.4452,-1.0431
1.0425,2.5438,2.7661,-0.77794,3.8348
-3.696,1.0351,-5.2178,-1.5649,-0.68839
-2.9182,0.27012,-4.5421,-4.7353,-3.468
1.7116,0.48698,-1.122,1.4619,1.894
0.14701,0.87328,0.20331,-1.5662,0.22907
3.5707,1.9532,1.0356,0.58499,4.3609
-0.063371,0.35152,-0.65972,0.10826,2.0702
-0.80695,0.2647,2.8413,2.8059,-3.4279
0.61224,3.2774,0.0020171,0.66331,-0.85732
-0.77868,-1.2941,-1.2024,2.6084,2.4645
-1.5064,-0.55874,-1.8402,-2.1797,-8.0854
3.0616,1.7556,-0.70265,-0.6433,2.1515
-2.7876,-2.3543,-1.8166,-2.7672,-1.9111
-1.7564,1.0024,0.39022,-1.3292,-2.1749
5.3923,0.31971,3.0289,1.3183,3.2656
-0.56109,-0.63049,6.6061,-0.21659,-0.27817
1.3505,3.0809,-0.75557,3.2883,3.8254
-3.6899,-3.8251,-5.6332,-3.1862,-6.2696
-3.4946,-5.1079,-2.0037,-2.2723,-2.4687
3.6934,1.2688,1.433,-1.6567,0.3927
-3.3414,-2.0615,-2.2946,-2.0358,-0.39826
3.2954,-0.67358,0.95972,1.6437,3.4825
-3.5191,0.33453,1.1477,-1.0004,-1.7873
0.30064,-0.42058,-2.2746,0.24159,-0.3274
0.33224,-1.3279,-0.43225,-1.7802,-1.5547
-0.3065,1.0526,0.72283,0.42952,-0.91428
1.626,6.0024,-0.96178,1.2954,4.186
1.1817,2.3372,0.42059,0.5559,1.7879
0.46838,-4.4856,-2.221,1.7361,-1.6425
-2.1171,-1.5375,2.3831,3.5066,2.3059
-2.6396,-3.7681,-4.9619,-5.174,-4.9777
-0.14957,-0.1083,-2.4259,-0.82347,0.32882
-0.42692,1.4498,2.3545,4.4168,2.5353
1.6613,5.9936,2.8895,1.2201,1.2565
-0.42197,-0.11966,-1.2707,-2.7566,-0.90658
3.289,1.5387,2.9359,2.3007,3.4172
-1.0236,-0.30972,-1.9902,-0.81975,-0.25665
0.5192,-0.30482,-0.43293,-0.67206,-1.031
-2.3695,-4.3507,-1.7438,-1.008,-2.2454
-1.0202,-3.2368,-2.3947,5.4895,2.1071
0.22666,-2.3461,-0.73225,-3.0264,-2.7468
0.3734,-2.0638,3.5658,2.4552,-0.23396
-2.677,-1.9042,-6.0575,-3.1843,-4.7781
1.0334,-0.84531,3.321,-1.58,2.4327
2.5734,2.2397,1.219,2.3541,2.4383
-0.18903,3.9824,3.1453,-2.1645,1.8867
1.1257,-0.16886,-2.7468,0.69272,-0.84841
1.7513,-0.18234,3.1629,2.1186,-0.88342
-0.30372,3.053,-1.7533,-1.3042,-1.7358
-2.4127,1.1406,-1.1551,-0.23905,1.6558
-0.58372,0.349,-0.88526,-2.0103,1.1542
-4.162,-2.6574,-2.4495,-1.0102,-5.5863
1.0931,-1.9965,1.15,0.84728,4.1925
-1.7304,0.90244,1.9965,4.4868,1.6455
-1.1169,1.8957,-0.028195,-3.4466,-2.7768
2.6695,3.2418,5.5112,0.85532,3.2832
-5.657,-3.1653,-5.0608,-2.7409,-6.5577
0.93278,-1.8062,-3.0373,-1.6609,-0.7338
-0.54852,-1.1187,0.31953,-0.22547,-1.6243
0.43372,-0.95002,-0.37418,3.9849,2.9508
3.6406,0.76398,6.8963,3.1227,5.6953
5.6177,3.8085,4.0678,2.8577,4.7194
3.3803,3.8583,0.38561,-1.4747,3.8688
-5.4187,-3.0135,-6.2296,-1.8121,-4.9589
2.5065,1.379,3.7245,-0.79221,0.90248
1.6839,-1.0736,-0.79643,-0.96976,1.1774
1.4224,-0.61712,-0.48436,0.56437,-2.2154
-2.3103,0.41382,0.17378,0.86847,1.9002
-2.4862,-2.7723,-4.4582,-5.6548,-5.4912
1.4632,2.6195,3.9627,2.6152,3.1485
0.16928,-3.906,-1.6523,0.22835,-5.3962
0.12414,-1.5219,1.2686,2.1671,2.7893
-0.070763,-0.9802,-3.3794,-3.3083,-5.524
-1.9536,0.4417,1.2772,-2.6319,-2.8933
2.4365,0.092424,0.52492,1.2647,0.93535
2.6566,1.6474,-0.66048,2.1301,3.9831
-3.2912,-1.5649,-2.0239,-3.4245,-5.7086
-2.3482,-2.152,-1.9458,-2.8462,2.37
0.52233,-2.8198,2.1684,0.9693,2.0555
2.4131,1.9424,0.74632,1.9555,0.73929
1.3721,1.898,-1.6382,-0.36041,0.09952
-5.1971,-1.9316,-1.98,-0.81738,-1.6772
-1.9238,2.7074,0.69056,-0.64968,-0.39037
2.4947,-1.1921,0.87997,3.9642,3.2979
1.4591,1.4661,7.1103,2.8993,0.48022
-2.3841,0.67999,-1.6446,0.17098,1.3101
0.44597,-0.094913,2.3005,-0.060968,3.181
0.49714,-0.33737,2.7662,0.95096,0.16062
-4.4089,-3.4222,-4.6931,-4.8819,-6.8357
0.13045,0.53585,-0.28785,-0.77263,1.4939
1.5142,0.78316,-3.7323,-0.82781,-2.7656
3.6162,1.8233,2.5739,1.7749,2.055
-2.8317,1.066,-1.7238,-2.7507,-4.4932
0.28906,-2.6359,3.3235,5.0829,0.88643
0.59728,2.0146,0.11839,3.8766,0.68247
-3.1115,-2.8544,-8.646,-4.5052,-4.7575
4.0143,0.72179,0.48566,-0.88881,0.93069
-1.8486,-1.4352,-3.202,-3.232,-2.0954
3.7482,0.046009,2.3535,1.744,2.8394
-3.5107,-1.6434,-7.2521,0.39243,1.7241
6.9187,2.4193,3.7444,0.7584,5.0847
-5.0632,-0.97532,-2.7968,-5.8664,-4.4108
1.9388,0.65256,0.63511,2.1043,3.4765
-1.1852,-1.2754,-0.81558,-1.701,-4.6018
-1.3233,-0.36355,1.5239,-0.24461,1.433
2.169,0.12114,2.6709,-0.66876,0.84809
0.41487,4.0312,3.2009,-0.23027,1.4898
-1.4998,0.596,-0.63981,0.52857,-1.7584
-1.4472,-1.5066,-0.9158,2.3791,0.62355
0.2879,-0.073535,1.8268,-0.15153,0.12933
1.3084,-1.2373,2.5608,2.0383,2.9364
-0.20007,1.2909,0.65996,-0.3138,-0.84385
-1.8841,0.55268,-1.506,-2.1488,-3.036
-0.11736,-0.060355,1.2466,0.59174,5.8409
0.8514,-0.13267,-1.0824,1.1072,0.25864
2.7592,1.8496,2.2575,1.5233,0.089863
-3.2548,0.65806,-1.094,-2.4263,-2.9685
2.8099,-0.55655,0.32808,3.8607,1.7431
-1.5148,1.3489,-0.5111,2.5424,-0.49382
0.0037637,-2.0855,1.8027,-1.0658,-4.6717
-0.89658,-0.91679,-1.8351,-3.0028,0.60435
-1.9335,1.8393,-2.5616,-1.4737,-0.16443
1.2861,-0.21899,-1.2275,1.1666,-4.5194
-0.15368,4.2236,0.15613,-1.8211,-0.61479
2.6234,-1.7288,2.2095,1.6332,-0.52603
-0.46006,-1.841,-3.5418,-2.3581,-2.2033
-1.6123,-1.2645,-1.91,-2.5445,-1.7406
-0.36012,1.5955,-1.7841,-0.85862,-0.99149
-4.7326,-2.9134,-2.7158,0.47836,0.25395
-0.21007,-1.5944,-0.32926,1.1427,2.0391
-1.206,-3.439,-1.8659,-1.9159,-1.1672
-0.9583,-0.32613,2.3094,0.090897,-0.40217
-1.9485,-1.985,-3.8631,-1.7997,-0.35657
0.62455,-0.15628,1.7456,-1.7316,-1.515
0.14507,1.2171,-0.48834,-0.73512,-0.32021
0.81357,2.6876,2.723,0.10184,3.3362
0.75447,1.1332,1.6429,1.1136,1.053
2.3218,3.2556,3.2689,0.87072,5.1499
1.1755,1.2701,2.0311,0.1392,1.1253
4.374,1.8698,2.5134,2.187,0.84978
-1.8259,-0.70238,0.70159,1.1821,1.6231
0.16737,0.60657,-2.5004,1.881,-1.4919
-0.54935,0.93341,1.4778,1.917,2.9771
1.0679,-1.0295,2.2643,2.2208,1.3479
-1.0757,0.44727,-1.5108,-1.4799,-1.4388
-2.5524,-0.89729,-2.8757,-0.88122,-3.2019
1.1898,3.2318,1.6073,1.6856,0.50367
3.7247,2.5569,2.3423,2.5528,4.946
-3.9772,-1.3497,-3.7987,-2.0379,-3.8451
-0.11624,-3.2144,1.7979,1.2393,2.258
0.88446,0.78888,1.7114,1.767,4.1225
-0.29713,0.4887,-2.684,0.47136,-3.7578
2.0255,-4.0908,-1.0892,-3.0523,-1.7852
-0.8907,-1.6084,2.5692,0.15209,1.1072
2.4808,-0.45796,-2.8621,-1.6478,0.50487
1.6429,4.0978,1.4308,1.8292,2.9182
0.74206,-3.7927,-0.14072,0.91191,-2.0756
-2.5102,1.3247,-0.10483,-0.87963,2.8355
0.078245,-1.8631,0.13427,-3.5081,-4.8146
-1.3902,-1.4143,-2.664,-2.9656,1.9319
-4.554,-2.0652,-5.7777,-1.1048,-4.9136
-2.4927,-0.89976,-1.3705,-4.4947,-4.2689
1.8476,2.2124,0.62905,-1.7013,0.2806
-1.9052,1.5108,-0.19487,2.8969,3.4947
2.997,3.549,3.6867,3.7133,2.8552
-0.28443,1.1943,2.1211,0.97742,0.1392
3.8201,-1.2336,5.145,3.4601,0.1515
-2.3327,-0.77328,-4.5614,-1.7822,-2.3393
2.2721,-2.3231,0.5772,2.5444,2.5514
-1.8382,-0.52394,-0.31371,0.044942,-1.325
-1.209,-1.7818,-1.0297,-1.4598,-2.725
0.75595,0.59524,-0.18828,0.82976,2.0109
1.6325,-0.28744,0.16759,1.9139,-0.35713
1.1699,1.4947,5.5179,4.3085,3.5771
4.7767,4.8201,5.9108,4.3595,6.2994
1.9921,2.6703,-1.5289,1.2673,-0.81781
-2.8681,-0.69239,0.041932,1.5096,5.588
2.1127,3.2994,0.79729,1.9712,1.535
-5.7665,-1.392,-4.1829,-4.6874,-6.5942
-1.6119,-4.1872,-0.65845,-2.8337,-1.106
-2.7924,-3.835,-3.2334,-3.5794,-2.7009
-1.0175,-0.44729,-0.63726,-1.5069,-1.4694
4.9811,1.4197,-0.79865,4.4339,2.5926
-0.47163,3.3535,0.72794,-1.9129,-2.2187
5.0971,0.55245,3.3249,-0.12765,2.7176
0.48349,1.7272,0.59366,-0.25153,0.20563
-0.45732,1.3604,3.3837,0.16361,0.022852
-0.31282,0.089563,1.1852,0.10476,-0.30979
-0.56429,-0.51282,2.3637,2.4985,2.5306
-5.5141,-0.4185,-5.9518,-2.2356,-5.9364
-1.2178,-0.090478,-0.51738,-6.3851,-1.0341
-0.56603,-0.71199,-1.3647,-2.5796,-0.073473
-0.94752,-3.2093,-1.3745,-0.9506,-2.7091
0.9383,-2.1791,-0.36781,0.40211,-0.70726
-3.5018,-0.79854,-3.3961,-1.4261,-2.2107
0.92555,-0.33613,5.152,3.7525,1.1907
-0.26397,-1.6605,-3.8868,0.47403,-1.7568
3.304,2.0869,3.3011,5.0035,2.8204
3.858,3.6828,-0.35566,2.5062,3.0676
-0.38519,1.5461,1.9533,2.5527,1.5745
